cider_d,bleu_4,rouge_l,shots
0.1288488658011192,0.03241325450792217,0.2224781488994907,0
0.3318401536013735,0.13072228143017525,0.3844033588177514,2
0.35578189093092394,0.14402223225927346,0.39609784709364887,4
0.3749366642092328,0.15393822428375473,0.40647422579440007,8
